Season,Episode Number,Number in Season,Episode Name,Director,Writer,Original Air Date,US viewers (million),Runtime (mins),IMDB votes,Imdb Rating,Notable Death Count
7,65,5,Eastwatch,Matt Shakman,Dave Hill,"August 13, 2017","10,72",59,44822,"8,7",29870
6,60,10,The Winds of Winter,Miguel Sapochnik,David Benioff & D. B. Weiss,"June 26, 2016","8,89",68,109392,"9,9",11
4,39,9,The Watchers on the Wall,Neil Marshall,David Benioff & D. B. Weiss,"June 8, 2014","6,95",51,30073,"9,6",10
3,29,9,The Rains of Castamere,David Nutter,David Benioff & D. B. Weiss,"June 2, 2013","5,22",51,68630,"9,9",8
6,54,4,Book of the Stranger,Daniel Sackheim,David Benioff & D. B. Weiss,"May 15, 2016","7,82",59,25572,"9,2",8
1,8,8,The Pointy End,Daniel Minahan,George R. R. Martin,"June 5, 2011","2,72",59,18688,"9,1",7
5,50,10,Mother's Mercy,David Nutter,David Benioff & D. B. Weiss,"June 14, 2015","8,11",60,29845,"9,1",7
8,70,3,The Long Night,Miguel Sapochnik,David Benioff & D. B. Weiss,"April 28, 2019","12,02",82,198482,"7,5",7
8,72,5,The Bells,Miguel Sapochnik,David Benioff & D. B. Weiss,"May 12, 2019","12,4",78,176140,6,7
2,20,10,Valar Morghulis,Alan Taylor,David Benioff & D. B. Weiss,"June 3, 2012","4,2",64,21557,"9,4",6
